Date;Price
03/11/2024;4.065,02
03/10/2024;3.878,47
03/09/2024;3.905,17
03/08/2024;3.883,20
03/07/2024;3.869,69
03/06/2024;3.814,56
03/05/2024;3.556,03
03/04/2024;3.626,34
03/03/2024;3.488,67
03/02/2024;3.420,64
03/01/2024;3.433,51
02/29/2024;3.339,26
02/28/2024;3.383,03
02/27/2024;3.242,14
02/26/2024;3.175,94
02/25/2024;3.112,59
02/24/2024;2.992,29
02/23/2024;2.922,24
02/22/2024;2.972,46
02/21/2024;2.971,18
02/20/2024;3.015,38
02/19/2024;2.944,80
02/18/2024;2.880,10
02/17/2024;2.785,90
02/16/2024;2.801,80
02/15/2024;2.822,59
02/14/2024;2.775,12
02/13/2024;2.640,10
02/12/2024;2.657,87
02/11/2024;2.506,69
02/10/2024;2.500,28
02/09/2024;2.486,24
02/08/2024;2.419,56
02/07/2024;2.424,64
02/06/2024;2.372,65
02/05/2024;2.301,83
02/04/2024;2.289,78
02/03/2024;2.296,50
02/02/2024;2.309,28
02/01/2024;2.304,28
01/31/2024;2.283,14
01/30/2024;2.343,11
01/29/2024;2.317,79
01/28/2024;2.256,92
01/27/2024;2.267,91
01/26/2024;2.267,55
01/25/2024;2.217,71
01/24/2024;2.234,64
01/23/2024;2.243,74
01/22/2024;2.313,64
01/21/2024;2.457,06
01/20/2024;2.472,03
01/19/2024;2.491,81
01/18/2024;2.469,77
01/17/2024;2.531,26
01/16/2024;2.588,64
01/15/2024;2.511,94
01/14/2024;2.473,96
01/13/2024;2.578,36
01/12/2024;2.523,98
01/11/2024;2.618,08
01/10/2024;2.581,79
01/09/2024;2.344,67
01/08/2024;2.330,98
01/07/2024;2.221,40
01/06/2024;2.240,49
01/05/2024;2.268,12
01/04/2024;2.267,27
01/03/2024;2.209,49
01/02/2024;2.355,27
01/01/2024;2.352,03
12/31/2023;2.281,90
12/30/2023;2.291,70
12/29/2023;2.299,24
12/28/2023;2.344,47
12/27/2023;2.378,63
12/26/2023;2.230,74
12/25/2023;2.271,38
12/24/2023;2.263,57
12/23/2023;2.308,61
12/22/2023;2.324,23
12/21/2023;2.239,62
12/20/2023;2.202,19
12/19/2023;2.177,44
12/18/2023;2.218,80
12/17/2023;2.197,04
12/16/2023;2.229,07
12/15/2023;2.220,41
12/14/2023;2.315,64
12/13/2023;2.260,18
12/12/2023;2.203,49
12/11/2023;2.225,34
12/10/2023;2.352,26
12/09/2023;2.340,55
12/08/2023;2.358,42
12/07/2023;2.355,80
12/06/2023;2.233,45
12/05/2023;2.293,34
12/04/2023;2.243,54
12/03/2023;2.192,79
12/02/2023;2.164,79
12/01/2023;2.087,21
11/30/2023;2.051,56
11/29/2023;2.028,99
11/28/2023;2.048,47
11/27/2023;2.027,51
11/26/2023;2.062,64
11/25/2023;2.083,09
11/24/2023;2.080,62
11/23/2023;2.061,92
11/22/2023;2.063,05
11/21/2023;1.934,62
11/20/2023;2.021,49
11/19/2023;2.011,01
11/18/2023;1.961,72
11/17/2023;1.960,80
11/16/2023;1.961,76
11/15/2023;2.058,93
11/14/2023;1.979,10
11/13/2023;2.054,18
11/12/2023;2.044,61
11/11/2023;2.053,42
11/10/2023;2.077,78
11/09/2023;2.120,16
11/08/2023;1.889,29
11/07/2023;1.885,97
11/06/2023;1.900,98
11/05/2023;1.892,36
11/04/2023;1.855,72
11/03/2023;1.832,29
11/02/2023;1.800,27
11/01/2023;1.846,60
10/31/2023;1.815,13
10/30/2023;1.809,05
10/29/2023;1.794,96
10/28/2023;1.776,21
10/27/2023;1.779,54
10/26/2023;1.803,13
10/25/2023;1.787,00
10/24/2023;1.784,88
10/23/2023;1.763,75
10/22/2023;1.663,35
10/21/2023;1.628,94
10/20/2023;1.603,89
10/19/2023;1.566,79
10/18/2023;1.563,43
10/17/2023;1.564,99
10/16/2023;1.599,48
10/15/2023;1.557,66
10/14/2023;1.554,96
10/13/2023;1.552,17
10/12/2023;1.539,70
10/11/2023;1.566,88
10/10/2023;1.567,60
10/09/2023;1.579,74
10/08/2023;1.632,85
10/07/2023;1.633,58
10/06/2023;1.645,62
10/05/2023;1.611,58
10/04/2023;1.647,05
10/03/2023;1.656,88
10/02/2023;1.662,79
10/01/2023;1.732,89
09/30/2023;1.670,92
09/29/2023;1.667,72
09/28/2023;1.652,89
09/27/2023;1.598,49
09/26/2023;1.594,04
09/25/2023;1.588,62
09/24/2023;1.580,55
09/23/2023;1.593,89
09/22/2023;1.593,10
09/21/2023;1.584,03
09/20/2023;1.622,28
09/19/2023;1.643,08
09/18/2023;1.636,92
09/17/2023;1.622,65
09/16/2023;1.634,41
09/15/2023;1.641,31
09/14/2023;1.626,49
09/13/2023;1.607,63
09/12/2023;1.592,50
09/11/2023;1.551,89
09/10/2023;1.617,44
09/09/2023;1.635,56
09/08/2023;1.636,45
09/07/2023;1.648,09
09/06/2023;1.633,18
09/05/2023;1.634,46
09/04/2023;1.630,51
09/03/2023;1.635,85
09/02/2023;1.637,05
09/01/2023;1.629,00
08/31/2023;1.645,82
08/30/2023;1.705,22
08/29/2023;1.729,69
08/28/2023;1.653,22
08/27/2023;1.658,33
08/26/2023;1.647,05
08/25/2023;1.653,74
08/24/2023;1.660,89
08/23/2023;1.679,93
08/22/2023;1.634,29
08/21/2023;1.667,60
08/20/2023;1.685,24
08/19/2023;1.669,67
08/18/2023;1.661,26
08/17/2023;1.683,89
08/16/2023;1.807,81
08/15/2023;1.828,98
08/14/2023;1.845,51
08/13/2023;1.840,73
08/12/2023;1.849,94
08/11/2023;1.848,88
08/10/2023;1.852,46
08/09/2023;1.855,36
08/08/2023;1.856,24
08/07/2023;1.829,11
08/06/2023;1.830,28
08/05/2023;1.836,48
08/04/2023;1.830,24
08/03/2023;1.835,98
08/02/2023;1.840,21
08/01/2023;1.874,21
07/31/2023;1.856,17
07/30/2023;1.861,81
07/29/2023;1.880,55
07/28/2023;1.874,23
07/27/2023;1.861,32
07/26/2023;1.872,00
07/25/2023;1.857,67
07/24/2023;1.850,04
07/23/2023;1.888,85
07/22/2023;1.866,25
07/21/2023;1.891,75
07/20/2023;1.891,23
07/19/2023;1.888,65
07/18/2023;1.897,58
07/17/2023;1.911,24
07/16/2023;1.922,45
07/15/2023;1.931,42
07/14/2023;1.938,05
07/13/2023;2.004,77
07/12/2023;1.871,86
07/11/2023;1.878,33
07/10/2023;1.880,42
07/09/2023;1.862,91
07/08/2023;1.865,28
07/07/2023;1.870,92
07/06/2023;1.848,36
07/05/2023;1.910,43
07/04/2023;1.936,19
07/03/2023;1.955,56
07/02/2023;1.937,57
07/01/2023;1.924,53
06/30/2023;1.933,80
06/29/2023;1.851,92
06/28/2023;1.827,95
06/27/2023;1.889,51
06/26/2023;1.859,00
06/25/2023;1.898,80
06/24/2023;1.875,00
06/23/2023;1.891,97
06/22/2023;1.872,32
06/21/2023;1.889,87
06/20/2023;1.791,61
06/19/2023;1.737,06
06/18/2023;1.720,98
06/17/2023;1.727,79
06/16/2023;1.717,92
06/15/2023;1.666,96
06/14/2023;1.650,96
06/13/2023;1.739,60
06/12/2023;1.742,60
06/11/2023;1.752,80
06/10/2023;1.751,56
06/09/2023;1.840,41
06/08/2023;1.845,68
06/07/2023;1.832,10
06/06/2023;1.884,17
06/05/2023;1.811,20
06/04/2023;1.890,04
06/03/2023;1.892,05
06/02/2023;1.907,10
06/01/2023;1.861,77
05/31/2023;1.873,63
05/30/2023;1.900,59
05/29/2023;1.892,61
05/28/2023;1.908,35
05/27/2023;1.829,91
05/26/2023;1.827,80
05/25/2023;1.805,69
05/24/2023;1.799,91
05/23/2023;1.854,08
05/22/2023;1.817,19
05/21/2023;1.804,89
05/20/2023;1.819,68
05/19/2023;1.812,32
05/18/2023;1.800,99
05/17/2023;1.821,73
05/16/2023;1.823,98
05/15/2023;1.817,11
05/14/2023;1.799,36
05/13/2023;1.794,95
05/12/2023;1.807,31
05/11/2023;1.794,71
05/10/2023;1.840,92
05/09/2023;1.846,56
05/08/2023;1.847,48
05/07/2023;1.870,99
05/06/2023;1.896,48
05/05/2023;1.993,33
05/04/2023;1.877,06
05/03/2023;1.904,74
05/02/2023;1.869,74
05/01/2023;1.830,75
04/30/2023;1.868,88
04/29/2023;1.907,80
04/28/2023;1.891,14
04/27/2023;1.908,81
04/26/2023;1.866,05
04/25/2023;1.865,95
04/24/2023;1.841,88
04/23/2023;1.862,05
04/22/2023;1.873,95
04/21/2023;1.849,81
04/20/2023;1.942,72
04/19/2023;1.935,97
04/18/2023;2.103,34
04/17/2023;2.074,74
04/16/2023;2.119,29
04/15/2023;2.090,59
04/14/2023;2.099,98
04/13/2023;2.012,11
04/12/2023;1.916,58
04/11/2023;1.889,86
04/10/2023;1.910,36
04/09/2023;1.858,90
04/08/2023;1.848,93
04/07/2023;1.863,46
04/06/2023;1.872,35
04/05/2023;1.908,96
04/04/2023;1.870,52
04/03/2023;1.810,77
04/02/2023;1.795,01
04/01/2023;1.820,78
03/31/2023;1.821,62
03/30/2023;1.793,59
03/29/2023;1.793,27
03/28/2023;1.772,63
03/27/2023;1.714,65
03/26/2023;1.774,06
03/25/2023;1.742,34
03/24/2023;1.749,26
03/23/2023;1.814,08
03/22/2023;1.734,48
03/21/2023;1.803,54
03/20/2023;1.732,31
03/19/2023;1.779,47
03/18/2023;1.758,70
03/17/2023;1.789,38
03/16/2023;1.673,85
03/15/2023;1.649,65
03/14/2023;1.700,15
03/13/2023;1.673,93
03/12/2023;1.580,24
03/11/2023;1.471,15
03/10/2023;1.426,75
03/09/2023;1.438,50
03/08/2023;1.533,04
03/07/2023;1.561,78
03/06/2023;1.565,84
03/05/2023;1.564,37
03/04/2023;1.566,73
03/03/2023;1.568,89
03/02/2023;1.647,38
03/01/2023;1.666,09
02/28/2023;1.604,69
02/27/2023;1.633,66
02/26/2023;1.641,60
02/25/2023;1.594,66
02/24/2023;1.608,24
02/23/2023;1.650,52
02/22/2023;1.643,39
02/21/2023;1.659,41
02/20/2023;1.703,27
02/19/2023;1.681,52
02/18/2023;1.691,62
02/17/2023;1.693,96
02/16/2023;1.640,66
02/15/2023;1.675,43
02/14/2023;1.555,46
02/13/2023;1.505,84
02/12/2023;1.515,44
02/11/2023;1.538,34
02/10/2023;1.513,82
02/09/2023;1.545,35
02/08/2023;1.650,99
02/07/2023;1.671,40
02/06/2023;1.613,72
02/05/2023;1.629,44
02/04/2023;1.666,90
02/03/2023;1.663,79
02/02/2023;1.641,71
02/01/2023;1.642,10
01/31/2023;1.585,27
01/30/2023;1.566,50
01/29/2023;1.645,97
01/28/2023;1.573,07
01/27/2023;1.597,60
01/26/2023;1.602,55
01/25/2023;1.611,20
01/24/2023;1.556,15
01/23/2023;1.626,53
